channel,signal,mu,sigma_mu,err_mu,sigma,sigma_sigma,err_sigma
01,pedestal,258,,,1,,
02,pedestal,259,,,0,,
03,pedestal,258,,,1,,
04,pedestal,257,,,1,,
05,pedestal,258,,,0,,
06,pedestal,259,,,1,,
07,pedestal,259,,,0,,
08,pedestal,257,,,1,,
09,pedestal,257,,,1,,
10,pedestal,260,,,0,,
11,pedestal,258,,,0,,
12,pedestal,258,,,0,,
13,pedestal,259,,,1,,
14,pedestal,259,,,1,,
15,pedestal,257,,,0,,
16,pedestal,259,,,0,,
17,pedestal,257,,,1,,
18,pedestal,257,,,1,,
19,pedestal,257,,,1,,
01,pulse,1024,,,1,,
02,pulse,1037,,,1,,
03,pulse,969,,,1,,
04,pulse,988,,,1,,
05,pulse,1025,,,1,,
06,pulse,990,,,1,,
07,pulse,976,,,1,,
08,pulse,969,,,1,,
09,pulse,966,,,1,,
10,pulse,986,,,1,,
11,pulse,968,,,1,,
12,pulse,1003,,,1,,
13,pulse,977,,,1,,
14,pulse,1024,,,1,,
15,pulse,969,,,1,,
16,pulse,976,,,1,,
17,pulse,951,,,1,,
18,pulse,977,,,1,,
19,pulse,985,,,1,,
